CodeBERT_Prediction,CodeT5_Prediction,MulaRec_Prediction,Correct_Model_Names,Correct_API_Sequence,CodeBERT_Achievement_Rate,CodeT5_Achievement_Rate,MulaRec_Achievement_Rate,CodeBERT_Head_API_Rate,CodeT5_Head_API_Rate,MulaRec_Head_API_Rate
['jtextarea.settext'],"['defaultmutabletreenode.getuserobject', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getuserobject', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getpath', 'treepath.<init>defaultmutab']","['jtextarea.selectall', 'stringbuilder.<init>', 'stringbuilder.append', 'node.getstreets', 'stringbuilder.append', 'stringbuilder.tostring', 'jtextarea.replaceselection']",MulaRec,"['jtextarea.selectall', 'stringbuilder.<init>', 'stringbuilder.append', 'node.getstreets', 'stringbuilder.append', 'stringbuilder.tostring', 'jtextarea.replaceselection']",0.0,0.0,0.0,0.0,0.0,0.5714285714285714
['parser.parse'],"['parser.parse', 'arraylist.<init>', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.']","['parser.parse', 'arraylist.<init>', 'list.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.size', 'arraylist.toarray']",MulaRec,"['parser.parse', 'arraylist.<init>', 'list.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.size', 'arraylist.toarray']",1.0,0.0,0.7571173234579227,0.0,0.6923076923076923,0.8571428571428571
"['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add']","['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistenerjpopupmenu']","['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jpopupmenu.show']",MulaRec,"['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jpopupmenu.show']",0.49011936940571577,0.0,0.7722498989337372,0.26666666666666666,0.26666666666666666,0.19047619047619047
['string.valueof'],"['string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.']","['list<string>.sizelist<string', '>.get']",CodeBERT,['string.valueof'],0.4117647058823529,0.0,0.0,1.0,0.96,0.0
['system.arraycopy'],['math.abs'],['math.min'],CodeT5,['math.abs'],0.8445945945945946,0.3076923076923077,0.5915492957746479,1.0,1.0,1.0
"['jtoolbar.addseparator', 'jtoolbar.add']","['jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>jtoolbar']","['jtoolbar.addseparator', 'jtoolbar.add', 'jtoolbar.addseparator', 'jtoolbar.add']",MulaRec,"['jtoolbar.addseparator', 'jtoolbar.add', 'jtoolbar.addseparator', 'jtoolbar.add']",0.0,0.0,0.0,0.0,0.47368421052631576,0.0
['math.min'],['color.<init>'],['math.abs'],MulaRec,['math.abs'],0.5774647887323944,0.4,0.5128205128205128,1.0,1.0,1.0
"['file.isdirectory', 'file.list', 'file.<init>']",['text.settext'],['joptionpane.showmessagedialog'],CodeT5,['text.settext'],0.0,0.0,0.46511627906976744,0.6666666666666666,0.0,1.0
"['arraylist.size', 'arraylist.get']","['bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb']",['math.abs'],MulaRec,['math.abs'],0.4739595775584879,0.5848035476425733,0.5128205128205128,1.0,0.3333333333333333,1.0
"['fileoutputstream.<init>', 'fileoutputstream.close']","['bytearrayoutputstream.tobytearray', 'bytearrayinputstream.<init>', 'imageio.read', 'imageio.getimagereadersbyformatnameiterator<imagereader', '>.next', 'imageio.getimagereadersiterator<imagereader', '>.hasnextiterator<imagereader', '>.next', 'imageio.getimagereadersiterator<imagereader', '>.hasnextiterator<imagereader', '>.next', 'imageio.getimagereadersiterator<']","['fileoutputstream.<init>', 'bytearrayoutputstream.writeto', 'fileoutputstream.close']",MulaRec,"['fileoutputstream.<init>', 'bytearrayoutputstream.writeto', 'fileoutputstream.close']",0.6708203932499369,0.0,0.0,0.5,0.08333333333333333,0.3333333333333333
"['point.getx', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.drawstring']","['color.<init>', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolorgraphics']","['rectangle.setsize', 'point.getx', 'point.gety', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.drawrect', 'graphics.drawstring', 'icon.painticon']",MulaRec,"['rectangle.setsize', 'point.getx', 'point.gety', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.drawrect', 'graphics.drawstring', 'icon.painticon']",0.0,0.0,0.0,0.4,0.5,0.2222222222222222
"['output.flush', 'vector.elements', 'enumeration.hasmoreelements', 'enumeration.nextelement']","['output.flush', 'hashtable.elements', 'enumeration.hasmoreelements', 'enumeration.nextelement', 'printwriter.close']","['outputstream.flush', 'vector.elements', 'enumeration.nextelement', 'double.cast', 'double.doublevalue', 'outputstream.close']",CodeBERT,"['output.flush', 'vector.elements', 'enumeration.hasmoreelements', 'enumeration.nextelement']",0.0,0.0,0.0,0.75,0.4,0.3333333333333333
['value.<init>'],"['dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.']",['dimension.getid'],MulaRec,['dimension.getid'],0.0,0.0,0.0,0.0,0.0,0.0
['configuration.getschematype'],"['configuration.gettypehierarchy', 'configuration.gettypehierarchy', 'configuration.gettypehierarchy', 'configuration.gettypehierarchy']",['configuration.gettypehierarchy'],MulaRec,['configuration.gettypehierarchy'],0.0,0.0,0.0,0.0,0.0,0.0
['dimension.<init>'],"['bufferedimage.<init>', 'bufferedimage.creategraphics', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrectgraphics2d']",['color.<init>'],MulaRec,['color.<init>'],0.2765957446808511,0.0,0.5333333333333333,1.0,0.4375,1.0
"['string.split', 'integer.parseint', 'string.equals']","['string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.']","['system.exit', 'string.startswith', 'system.exit', 'string.substring', 'stringtokenizer.<init>', 'stringtokenizer.nexttoken', 'long.parselong', 'stringtokenizer.hasmoretokens', 'system.exit', 'stringtokenizer.nexttoken', 'long.parselong', 'string.equals']",MulaRec,"['system.exit', 'string.startswith', 'system.exit', 'string.substring', 'stringtokenizer.<init>', 'stringtokenizer.nexttoken', 'long.parselong', 'stringtokenizer.hasmoretokens', 'system.exit', 'stringtokenizer.nexttoken', 'long.parselong', 'string.equals']",0.41871276859651413,0.0,0.623497658593828,1.0,0.9696969696969697,0.8333333333333334
"['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobjectlinked']","['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobject', 'linkedlist.removefirst', 'contenthandler.']","['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobject', 'linkedlist.removefirst', 'contenthandler.primitive', 'contenthandler.endobjectentry', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'linkedlist.removefirst', 'contenthandler.endobjectentry', 'contenthandler.primitive', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endarray', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray']",MulaRec,"['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobject', 'linkedlist.removefirst', 'contenthandler.primitive', 'contenthandler.endobjectentry', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'linkedlist.removefirst', 'contenthandler.endobjectentry', 'contenthandler.primitive', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endarray', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray']",0.0,0.0,0.0,0.3684210526315789,0.3333333333333333,0.30434782608695654
['toxmlsaxhandler.reset'],['toxmlsaxhandler.escapingnotneeded'],['toxmlsaxhandler.processinginstruction'],MulaRec,['toxmlsaxhandler.processinginstruction'],0.0,0.0,0.0,0.0,0.0,0.0
"['jlabel.settext', 'defaultcomboboxmodel.<init>', 'jcombobox.setmodel', 'actionlistener.<init>', 'jcombobox.addactionlistener', 'jlabel.settext']","['jbutton.<init>', 'jlabel.settext', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'grouplayout.<init>', 'grouplayout.sethorizontalgroup', 'grouplayout.createparallelgroup', 'grouplayout.createsequentialgroup', 'grouplayout.createparallelgroup', 'grouplayout.createsequentialgroupgrouplay']","['jbutton.<init>', 'jlabel.settext', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener']",MulaRec,"['jbutton.<init>', 'jlabel.settext', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener']",0.0,0.0,0.6225315836572363,0.5,0.5,0.75
"['function.instance', 'function.cast', 'context.getelements']","['function.instance', 'context.getelementsbytagname', 'nodelist.getlength', 'nodelist.item', 'context.reportruntimeerror0', 'context.reportruntimeerror1', 'context.reportruntimeerror2', 'context.reportruntimeerror1', 'context.reportruntimeerror2', 'context.reportruntimeerror1', 'context.reportruntimeerror2', 'context.reportruntimeerror2', 'context.reportruntimeerror1', 'context.reportruntimeerror2context']","['function.instance', 'context.getelements', 'function.cast', 'context.getfactory', 'thread.<init>', 'thread.start']",MulaRec,"['function.instance', 'context.getelements', 'function.cast', 'context.getfactory', 'thread.<init>', 'thread.start']",0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333
"['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'math.min', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring']","['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substringstring']","['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'math.min', 'string.substring', 'string.length', 'math.min', 'string.equals', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length']",MulaRec,"['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'math.min', 'string.substring', 'string.length', 'math.min', 'string.equals', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length']",0.0,0.0,0.0,0.9444444444444444,0.9354838709677419,0.9523809523809523
"['jpanel.<init>', 'boxlayout.<init>', 'jpanel.setlayout', 'jpanel.add']","['jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>jcombobox']",['string.equals'],MulaRec,['string.equals'],0.4975307887399217,0.0,0.5913461538461539,0.5,0.3076923076923077,1.0
['state.equals'],"['character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.']",['thread.interrupt'],MulaRec,['thread.interrupt'],0.0,0.0,1.0,0.0,0.32,0.0
['math.min'],"['biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>biginteger']",['integer.valueof'],MulaRec,['integer.valueof'],0.5774647887323944,0.0,0.35,1.0,0.0,1.0
['jlabel.settext'],"['jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setfore']",['set.size'],MulaRec,['set.size'],0.5111111111111111,0.0,0.5,1.0,0.5,0.0
['arrays.aslist'],"['arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists']","['arrays.aslist', 'file.<init>']",MulaRec,"['arrays.aslist', 'file.<init>']",0.3783783783783784,0.366447193725939,0.5052279240652235,1.0,1.0,1.0
['dimension.<init>'],"['font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<']","['dimension.<init>', 'filler.<init>']",CodeBERT,['dimension.<init>'],0.2765957446808511,0.0,0.0,1.0,0.95,0.5
['vector<integer>.elementat'],"['vector<integer>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementat']",['vector<integer>.get'],MulaRec,['vector<integer>.get'],0.0,0.0,0.0,0.0,0.0,0.0
"['condition.await', 'lock.unlock']","['condition.await', 'reentrantlock.unlock']","['condition.signalall', 'lock.unlock']",CodeBERT,"['condition.await', 'lock.unlock']",0.7071067811865476,0.0,0.0,0.0,0.0,0.0
"['runnable.<init>', 'thread.<init>', 'thread.start']","['runnable.<init>', 'executorservice.submit', 'executorservice.shutdown']","['runnable.<init>', 'executorservice.submit', 'util.printerror']",MulaRec,"['runnable.<init>', 'executorservice.submit', 'util.printerror']",0.6106277134634381,0.6149557238134868,0.0,1.0,0.3333333333333333,0.3333333333333333
